Tahun Registrasi,Provinsi,Kota/Kabupaten,Tipe Kendaraan,Brand,Model,Estimasi Harga (Rp),Jarak Tempuh (km),Penerima Subsidi
2023,Sumatera Utara,Kota/Kabupaten Lain,Mobil Listrik (R4),Hyundai,Kona Electric,757000000,356,Ya
2023,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Yadea,E8s Pro,22000000,88,Ya
2025,Banten,Lainnya,Mobil Listrik (R4),Wuling,Cloud EV,216000000,373,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,E-Max,33000000,114,Ya
2023,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Polytron,Fox R,17000000,87,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Selis,E-Max,32000000,85,Ya
2023,Jawa Barat,Bandung,Motor Listrik (R2),Alva,One,29000000,95,Ya
2025,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Honda,EM1 e:,37000000,114,Ya
2021,Banten,Tangerang,Motor Listrik (R2),Gesits,G1,21000000,103,Ya
2022,Bali,Kota/Kabupaten Lain,Mobil Listrik (R4),Chery,Omoda E5,789000000,324,Tidak
2023,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),Hyundai,Ioniq 6,1133000000,438,Ya
2022,Jawa Barat,Lainnya,Motor Listrik (R2),Gesits,G1,38000000,118,Tidak
2023,Banten,Tangerang Selatan,Motor Listrik (R2),Polytron,Fox S,17000000,130,Ya
2024,Jawa Barat,Bandung,Motor Listrik (R2),Honda,EM1 e:,33000000,84,Tidak
2025,Bali,Kota/Kabupaten Lain,Mobil Listrik (R4),Hyundai,Ioniq 5,1038000000,408,Ya
2025,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Honda,EM1 e:,17000000,89,Ya
2021,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Alva,Cervo,29000000,106,Ya
2023,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Gesits,Raya,21000000,94,Ya
2023,Jawa Barat,Lainnya,Motor Listrik (R2),Yadea,T9,34000000,81,Tidak
2022,DI Yogyakarta,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Cloud EV,252000000,241,Tidak
2020,Jawa Timur,Malang,Mobil Listrik (R4),BYD,M6,594000000,469,Tidak
2025,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Yadea,E8s Pro,41000000,67,Ya
2025,Banten,Tangerang Selatan,Motor Listrik (R2),Honda,EM1 e:,40000000,100,Ya
2023,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),Hyundai,Ioniq 6,733000000,404,Ya
